Splits ,Time,Cumulative Time,Moving Time,Distance,Avg Stroke Rate,Max Stroke Rate,Avg Distance per Stroke,Avg Pace,Avg Moving Pace,Best Pace,Avg HR,Max HR,Calories
1,04:59.8,04:59.8,03:55,500,21,38,1.63,05:00,03:55,02:19,75,95,19
2,02:33.8,07:33.6,02:25,500,19,27,10.53,02:34,02:25,01:57,53,73,3
3,02:16.2,09:49.8,02:14,500,18,19,12.8,02:16,02:14,01:52,42,51,2
4,02:06.5,11:56,01:58,500,20,29,11.3,02:06,01:58,01:39,51,58,3
5,02:20.8,14:17,02:16,500,21,35,10.16,02:21,02:16,01:39,53,60,3
6,02:12.4,16:29,01:59,500,21,28,10.81,02:12,01:59,01:42,56,59,2
7,02:21.0,18:51,02:08,500,19,22,11.13,02:21,02:08,01:53,55,60,3
8,02:15.9,21:06,02:12,500,19,23,11.53,02:16,02:12,01:51,56,59,2
9,02:34.5,23:41,02:25,500,18,24,10.35,02:35,02:25,01:56,56,65,4
10,03:25.5,27:06:00,03:16,500,17,22,9.76,03:26,03:16,02:18,57,92,12
11,04:16,31:22:00,02:42,500,17,21,10.33,04:16,02:42,02:03,56,97,8
12,06:25.1,37:48:00,02:26,500,22,33,9.31,06:25,02:26,01:35,86,139,27
13,04:21.2,42:09:00,04:18,500,24,36,8.86,04:21,04:18,01:24,114,132,34
14,02:08.9,44:18:00,02:08.9,500,22,39,10.8,02:09,02:09,01:30,112,115,14
15,10:53,55:11:00,06:00,500,19,25,10.74,10:54,06:00,01:45,97,118,50
16,24:54:00,01:20:05,06:19,500,28,38,1.67,24:53:00,06:19,03:33,91,122,99
17,05:04.6,01:25:10,02:48,500,25,35,9.88,05:05,02:48,01:28,86,140,18
18,01:42.6,01:26:52,01:31,500,32,40,9.14,01:43,01:31,01:31,159,166,24
19,01:42.1,01:28:34,01:39,500,31,40,9.37,01:42,01:39,01:32,156,170,24
20,01:45.1,01:30:19,01:37,500,31,38,9.13,01:45,01:37,01:33,155,162,25
21,01:45.3,01:32:05,01:40,500,31,39,9.17,01:45,01:40,01:34,155,163,25
22,01:48.8,01:33:53,01:44,500,30,38,8.71,01:49,01:44,01:36,153,157,25
23,01:48.5,01:35:42,01:48,500,30,39,9,01:49,01:48,01:34,153,158,25
24,01:46.8,01:37:29,01:44,500,30,38,9.23,01:47,01:44,01:34,152,158,24
25,01:50.2,01:39:19,01:45,500,30,37,9.08,01:50,01:45,01:38,155,181,25
26,01:42.2,01:41:01,01:42.2,500,32,38,9.12,01:42,01:42,01:30,161,171,24
27,05:08.0,01:46:09,04:07,500,25,42,6.71,05:08,04:07,01:30,140,168,50
28,03:03.4,01:49:12,02:51,500,19,32,10.13,03:03,02:51,01:56,131,141,22
29,03:01.2,01:52:14,02:32,500,19,25,9.96,03:01,02:32,01:53,133,137,23
30,04:25.7,01:56:39,02:12,302,24,37,6.5,07:20,03:39,02:02,120,134,21
Summary,01:56:39,01:56:39,01:21:55,"14,802",24,42,9.59,03:56,02:46,01:24,97,181,640
